group,doculect,SC,LOE,BDPA,notes
Frisian/Dutch/Flemish,Fris. W.: Hylpen,(partially),,,
Frisian/Dutch/Flemish,Fris. W.: Grou,x,x,x,
Frisian/Dutch/Flemish,Fris. E.: Schäddel,(partially),,,
Frisian/Dutch/Flemish,Fris. N.: Feer,x,,,
Frisian/Dutch/Flemish,Fris. N.: Heligoland,x,,,
Frisian/Dutch/Flemish,Dutch: Std in NL,x,x,x,
Frisian/Dutch/Flemish,Dutch: Std in BE,x,x,x,
Frisian/Dutch/Flemish,‘French’ Flemish,x,,,
Frisian/Dutch/Flemish,Flemish’: Ostend,x,x,x,
Frisian/Dutch/Flemish,‘Flemish’: Antwerp,x,x,x,
Frisian/Dutch/Flemish,Afrikaans: Kroonstad,(partially),,,
Frisian/Dutch/Flemish,Limburgish,x,x,x,
Low German,‘Low Saxon’: Westerkwartier,x,,,
Low German,‘Low Saxon’: Veenkoloniën,x,,,
Low German,‘Low Saxon’: Achterhoek,x,x,x,
Low German,Schleswig-Holstein: Husum,x,,,
Low German,Lower Saxony: Barterode,(partially),,,
Low German,Lower Saxony: Bargstedt,x,,x,
Low German,Lower Saxony: Cloppenburg,x,,,
Low German,Westphalia: Münsterland,x,,,
Low German,Mecklenburg: Hagenow,(partially),,,
Low German,"Pomerania, W.: Sundhagen",(partially),,,
Low German,Mecklenburg: Balow,(partially),,,
Low German,Mecklenburg: Rügen,(partially),,,
Low German,Mecklenburg: Stavenhagen,(partially),,,
Low German,Brandenburg: Berlin,(partially),,,
Low German,Hamburg,,x,,
Central German,Franc. E.: Nuremberg,(partially),,,
Central German,Franc. E.: Murrhardt,,x,x,
Central German,Franc. C.: Luxemburg,x,x,x,
Central German,Franc. C.: Cologne,x,x,x,
Central German,Franc. Rh.: Lorraine,(partially),,,
Central German,Thur. Ctl: Manebach,(partially),,,
Central German,Thur. E.: Altenburg,(partially),,,
Central German,Thur. SE: Pößneck,(partially),,,
Central German,Thur. SE: Unterlemnitz,(partially),,,
Central German,Thur. SE: Peuschen,(partially),,,
Central German,Upper Saxon: Leipzig,(partially),,,
Central German,Low Silesian: Crostau,(partially),,,
Central German,Thur. NE: Mansfeld,(partially),,,
Central German,Vogtland N.: Steinberg,(partially),,,
Central German,Transylvania: Honigberg,,x,x,
Central German,Erzgebirge W.: Scheibenberg,(partially),,,
Central German,Erzgebirge W.: Aue,(partially),,,
Upper German,Erzgebirge W.: Homersdorf,(partially),,,
Upper German,Erzgebirge W.: Stützengrün,(partially),,,
Upper German,Erzgebirge E.: Olbernhau,(partially),,,
Upper German,Std. German (Ctl Germany acc.),x,x,x,
Upper German,Std. German (Liechtenstein acc.),x,x,,
Upper German,Yiddish: New York,x,x,x,
Upper German,Alsace N.: Herrlisheim,x,x,x,BDPA has both 'Herrlisheim' and 'North Alsace'
Upper German,Alsace Ctl: Mittlach,(partially),,,
Upper German,Alsace S.: Hirtzbach,x,,,
Upper German,Alsace S.: Riespach,x,,,
Upper German,Swabia: Tübingen,x,x,x,
Upper German,Franc. E.: Schwäbisch Hall,x,,,
Upper German,Franc. E.: Altersbach,x,,,
Upper German,Oberpfalz: Hirschau,(partially),,,
Upper German,Niederbayern: Bodenmais,(partially),,,
Upper German,Niederbayern: Passau,(partially),,,
Upper German,Oberbayern: Pfaffenhofen,(partially),,,
Upper German,Austria: Bodensee,x,x,x,
Upper German,Switz.: Biel,x,x,x,
Upper German,Switz.: Graubünden,x,x,x,
Upper German,Liecht.: Unterland,x,,,
Upper German,Liecht.: Oberland,x,,,
Upper German,Austria: Amstetten,x,,,
Upper German,Austria: Vienna,x,,,
Upper German,Austria: Kötschach,x,,,
Upper German,Austria: Klagenfurt,x,,,
Upper German,Liecht.: Walser,x,x,x,
Upper German,South Tyrol: Ortisei,x,x,x,
Frisian/Dutch/Flemish,TOTAL,9,6,6,
Low German,TOTAL,7,2,2,
Central German,TOTAL,2,4,4,
Upper German,TOTAL,20,10,9,
ALL,TOTAL,38,22,21,
