BDPA,Sound Comparisons (short),Sound Comparisons (long),Code
High German (Biel),Switz.: Biel,Upper German: Alemannic (High): Switzerland: Biel,base1241
High German (Bodensee),Austria: Bodensee,Upper German: Alemannic (Low): Bodensee/Lake Constance: Hard,lowa1241
High German (Graubuenden),Switz.: Graubünden,Upper German: Alemannic (Highest): Switzerland: Graubünden,grau1238
High German (Herrlisheim),Alsace N.: Herrlisheim,Upper German: Alemannic (Low): Alsace (north): Herrlisheim,alsa1241
High German (Ortisei),South Tyrol: Ortisei,Upper German: Austro-Bavarian: South Tyrol: Ortisei,cimb1238
High German (Tuebingen),Swabia: Tübingen,Upper German: Alemannic (Low): Swabia: Tübingen,swab1242
High German (Walser),Liecht.: Walser,Upper German: Alemannic (Highest): Liechtenstein: Walser: Triesenberg,wals1238
Central German (Cologne),Franc. C: Cologne,"Central German: Franconian, Central: Cologne",kols1241
Central German (Honigberg),Translv.: Kronstadt,"Transylvanian ‘Saxon’: Kronstadt [=Braşov], village of Honigberg [=Hărman]",TODO (prev mose1248) (midd1319?)
Central German (Luxembourg),Franc C.: Luxenburg,"Central German: Franconian, Central: Luxemburg",luxe1241
Central German (Murrhardt),Franc. E.: Schwäbisch Hall,"Intermediate Central-to-High German: Franconian, East: Schwäbisch Hall",TODO (prev east2300) (high1287?)
German,Std. German (Ctl Germany),"High German: standard (‘Hochdeutsch’): standard accent (Göttingen)",stan1295
Low German (Achterhoek),'Low Saxon': Achterhoek,Dutch Low Saxon: Achterhoek: Borculo,acht1238
Low German (Bargstedt),Lower Saxony: Bargstedt,Low German: Lower Saxony: Bargstedt,nort2628
Dutch,Dutch: Std in NL,Dutch: standard pronunciation in the Netherlands,dutc1256
Belgian Dutch,Dutch: Std in BE,Dutch: standard pronunciation in Belgium,vlaa1240
Dutch (Antwerp),'Flemish': Antwerp,‘Flemish’: Antwerp,antw1238
Dutch (Limburg),Limburgish,Limburgish: Eygelshoven,limb1265
Dutch (Ostend),'Flemish': Ostend,‘Flemish’: Ostend,oost1242
West Frisian (Grou),Fris. W.: Grou,West Frisian: Grou [=Grouw],west2354
