longitude,latitude,doculect,pos,type
6.5166699999999995,52.11667,Achterhoek,4,lowfris
4.4,51.21667,Antwerp,3,dutch
7.24,47.15,Biel,4,upper
6.96667,50.95,Cologne,4,central
4.35,50.85,Std. Dutch (BE),2,dutch
5.122000000000001,52.091,Std. Dutch (NL),2,dutch
8.5,54.71666999999999,Feer,2,lowfris
9.45365,46.70013,Graubünden,2,upper
5.83,53.1,Grou,2,lowfris
9.68,47.48,Hard,3,upper
7.885280000000001,54.1825,Heligoland,2,lowfris
7.9068,48.730059999999995,Herrlisheim,3,upper
6.05917,50.8925,Limburg,1,dutch
6.11667,49.6,Luxembourg,4,central
11.66667,46.56667,Ortisei,1,upper
2.91667,51.23333,Ostend,2,dutch
9.0521,48.5229,Tübingen,4,upper
6.87114,53.10041999999999,Veenkoloniën,4,lowfris
9.53,47.12,Walser,4,upper
6.3887,53.16444,Westerkwartier,3,lowfris
