# x = phonetic transcriptions for (almost) all entries
# m = phonetic transcriptions for only some entries
group (based on Sound Comparisons (Heggarty)),variant,Sound Comparisons (Heggarty),Languages and Origins in Europe (Renfrew & Heggarty 2009),Benchmark Database of Phonetic Alignments (List & Prokić; data from Renfrew & Heggarty 2009),notes
Frisian/Dutch/Flemish,Fris. W.: Hylpen,m,,,
Frisian/Dutch/Flemish,Fris. W.: Grou,x,x,x,
Frisian/Dutch/Flemish,Fris. E.: Schäddel,m,,,
Frisian/Dutch/Flemish,Fris. N.: Feer,x,,,
Frisian/Dutch/Flemish,Fris. N.: Heligoland,x,,,
Frisian/Dutch/Flemish,Dutch: Std in NL,x,x,x,
Frisian/Dutch/Flemish,Dutch: Std in BE,x,x,x,
Frisian/Dutch/Flemish,‘French’ Flemish,x,,,
Frisian/Dutch/Flemish,Flemish’: Ostend,x,x,x,
Frisian/Dutch/Flemish,‘Flemish’: Antwerp,x,x,x,
Frisian/Dutch/Flemish,Afrikaans: Kroonstad,m,,,
Frisian/Dutch/Flemish,Limburgish,x,x,x,
Low German,‘Low Saxon’: Westerkwartier,x,,,
Low German,‘Low Saxon’: Veenkoloniën,x,,,
Low German,‘Low Saxon’: Achterhoek,x,x,x,
Low German,Schleswig-Holstein: Husum,x,,,
Low German,Lower Saxony: Barterode,m,,,
Low German,Lower Saxony: Bargstedt,x,,x,
Low German,Lower Saxony: Cloppenburg,x,,,
Low German,Westphalia: Münsterland,x,,,
Low German,Mecklenburg: Hagenow,m,,,
Low German,"Pomerania, W.: Sundhagen",m,,,
Low German,Mecklenburg: Balow,m,,,
Low German,Mecklenburg: Rügen,m,,,
Low German,Mecklenburg: Stavenhagen,m,,,
Low German,Brandenburg: Berlin,m,,,
Low German,Hamburg,,x,,
Central German,Franc. E.: Nuremberg,m,,,
Central German,Franc. E.: Murrhardt,,x,x,
Central German,Franc. C.: Luxemburg,x,x,x,
Central German,Franc. C.: Cologne,x,x,x,
Central German,Franc. Rh.: Lorraine,m,,,
Central German,Thur. Ctl: Manebach,m,,,
Central German,Thur. E.: Altenburg,m,,,
Central German,Thur. SE: Pößneck,m,,,
Central German,Thur. SE: Unterlemnitz,m,,,
Central German,Thur. SE: Peuschen,m,,,
Central German,Upper Saxon: Leipzig,m,,,
Central German,Low Silesian: Crostau,m,,,
Central German,Thur. NE: Mansfeld,m,,,
Central German,Vogtland N.: Steinberg,m,,,
Central German,Transylvania: Honigberg,,x,x,
Central German,Erzgebirge W.: Scheibenberg,m,,,
Central German,Erzgebirge W.: Aue,m,,,
Upper German,Erzgebirge W.: Homersdorf,m,,,
Upper German,Erzgebirge W.: Stützengrün,m,,,
Upper German,Erzgebirge E.: Olbernhau,m,,,
Upper German,Std. German (Ctl Germany acc.),x,x,x,
Upper German,Std. German (Liechtenstein acc.),x,x,,
Upper German,Yiddish: New York,x,x,x,
Upper German,Alsace N.: Herrlisheim,x,x,x,BDPA has both 'Herrlisheim' and 'North Alsace'
Upper German,Alsace Ctl: Mittlach,m,,,
Upper German,Alsace S.: Hirtzbach,x,,,
Upper German,Alsace S.: Riespach,x,,,
Upper German,Swabia: Tübingen,x,x,x,
Upper German,Franc. E.: Schwäbisch Hall,x,,,
Upper German,Franc. E.: Altersbach,x,,,
Upper German,Oberpfalz: Hirschau,m,,,
Upper German,Niederbayern: Bodenmais,m,,,
Upper German,Niederbayern: Passau,m,,,
Upper German,Oberbayern: Pfaffenhofen,m,,,
Upper German,Austria: Bodensee,x,x,x,
Upper German,Switz.: Biel,x,x,x,
Upper German,Switz.: Graubünden,x,x,x,
Upper German,Liecht.: Unterland,x,,,
Upper German,Liecht.: Oberland,x,,,
Upper German,Austria: Amstetten,x,,,
Upper German,Austria: Vienna,x,,,
Upper German,Austria: Kötschach,x,,,
Upper German,Austria: Klagenfurt,x,,,
Upper German,Liecht.: Walser,x,x,x,
Upper German,South Tyrol: Ortisei,x,x,x,
#
Frisian/Dutch/Flemish,TOTAL,9,6,6,
Low German,TOTAL,7,2,2,
Central German,TOTAL,2,4,4,
Upper German,TOTAL,20,10,9,
ALL,TOTAL,38,22,21,
